,label,talent_languages,talent_job_roles,talent_seniority,talent_salary_expectation,talent_degree,job_languages,job_job_roles,job_seniorities,job_max_salary,job_min_degree
1318,False,"[{'rating': 'C2', 'title': 'German'}, {'rating': 'C2', 'title': 'English'}]","['cto', 'devops-engineer', 'frontend-developer', 'copywriter', 'network-engineer']",junior,137080,none,"[{'title': 'German', 'rating': 'C1', 'must_have': True}]",['system-engineer'],"['midlevel', 'senior']",92000,apprenticeship
1802,False,"[{'rating': 'A2', 'title': 'German'}, {'rating': 'C1', 'title': 'English'}, {'rating': 'A2', 'title': 'Spanish'}]","['full-stack-developer', 'seo-sea-manager', 'customer-success-manager', 'data-engineer', '1st-2nd-3rd-level-support']",junior,137000,master,"[{'title': 'German', 'rating': 'C1', 'must_have': True}, {'title': 'English', 'rating': 'B2', 'must_have': False}]","['tech-lead', 'engineering-manager']","['midlevel', 'senior']",100000,none
1755,False,"[{'rating': 'B1', 'title': 'German'}, {'rating': 'B2', 'title': 'English'}, {'rating': 'A2', 'title': 'French'}]","['java-developer', 'sales-manager', 'data-analyst', 'customer-success-manager', 'security']",none,135000,bachelor,"[{'title': 'German', 'rating': 'C1', 'must_have': True}, {'title': 'English', 'rating': 'C1', 'must_have': False}]",['software-architect'],['midlevel'],90000,master
1153,False,"[{'rating': 'A1', 'title': 'German'}, {'rating': 'B2', 'title': 'English'}, {'rating': 'A2', 'title': 'French'}]","['scrum-master-agile-coach', 'network-engineer', 'sales-engineer', 'product-manager', 'java-developer']",junior,132480,master,"[{'title': 'German', 'rating': 'C1', 'must_have': True}]",['system-engineer'],"['midlevel', 'senior']",92000,apprenticeship
1665,False,"[{'rating': 'C2', 'title': 'German'}, {'rating': 'B2', 'title': 'English'}]","['copywriter', 'cmo-or-head-of-marketing', 'frontend-developer']",midlevel,132300,none,"[{'title': 'German', 'rating': 'C1', 'must_have': True}, {'title': 'English', 'rating': 'B2', 'must_have': False}]",['full-stack-developer'],"['midlevel', 'senior']",90000,apprenticeship
1226,False,"[{'rating': 'C2', 'title': 'German'}, {'rating': 'B2', 'title': 'English'}]","['backend-developer', 'full-stack-developer', 'tech-lead', 'devops-engineer']",senior,131400,apprenticeship,"[{'title': 'German', 'rating': 'B2', 'must_have': True}, {'title': 'English', 'rating': 'B2', 'must_have': False}]",['full-stack-developer'],"['midlevel', 'senior']",90000,apprenticeship
1918,False,"[{'rating': 'B1', 'title': 'German'}, {'rating': 'B2', 'title': 'English'}, {'rating': 'C2', 'title': 'Russian'}]","['frontend-developer', 'backend-developer', 'scrum-master-agile-coach', 'sales-manager', 'sales-team-lead']",none,129600,apprenticeship,"[{'title': 'German', 'rating': 'C2', 'must_have': True}, {'title': 'English', 'rating': 'C1', 'must_have': False}]",['consulting'],"['midlevel', 'senior']",90000,bachelor
1687,False,"[{'rating': 'A1', 'title': 'German'}, {'rating': 'B2', 'title': 'English'}]","['sales-team-lead', 'marketing-team-lead', 'engineering-manager', 'cloud-engineer', 'online-marketing-manager']",none,128700,bachelor,"[{'title': 'German', 'rating': 'B2', 'must_have': True}, {'title': 'English', 'rating': 'B2', 'must_have': False}]",['full-stack-developer'],['midlevel'],90000,apprenticeship
1988,False,"[{'rating': 'C2', 'title': 'English'}, {'rating': 'C2', 'title': 'German'}, {'rating': 'B2', 'title': 'Spanish'}]","['backend-developer', 'full-stack-developer', 'tech-lead', 'engineering-manager', 'consulting']",none,128700,master,"[{'title': 'German', 'rating': 'B2', 'must_have': True}, {'title': 'English', 'rating': 'B2', 'must_have': False}]",['full-stack-developer'],['midlevel'],90000,apprenticeship
1899,False,"[{'rating': 'A1', 'title': 'German'}, {'rating': 'C1', 'title': 'English'}]","['consulting', 'engineering-manager', 'devops-engineer', '1st-2nd-3rd-level-support', 'product-manager']",midlevel,127800,master,"[{'title': 'German', 'rating': 'B2', 'must_have': True}, {'title': 'English', 'rating': 'B2', 'must_have': False}]",['full-stack-developer'],['midlevel'],90000,apprenticeship
1763,False,"[{'rating': 'C2', 'title': 'German'}, {'rating': 'C1', 'title': 'English'}]","['online-marketing-manager', 'system-administrator', 'product-owner', 'scrum-master-agile-coach', 'ui-ux-designer']",none,127800,none,"[{'title': 'German', 'rating': 'B2', 'must_have': True}, {'title': 'English', 'rating': 'B2', 'must_have': False}]",['full-stack-developer'],['midlevel'],90000,apprenticeship
1379,False,"[{'rating': 'B2', 'title': 'German'}, {'rating': 'B1', 'title': 'English'}, {'rating': 'C2', 'title': 'Turkish'}]","['backend-developer', 'full-stack-developer', 'java-developer']",none,125100,none,"[{'title': 'German', 'rating': 'C1', 'must_have': True}, {'title': 'English', 'rating': 'B2', 'must_have': False}]",['full-stack-developer'],"['midlevel', 'senior']",90000,apprenticeship
1336,False,"[{'rating': 'B2', 'title': 'German'}, {'rating': 'C2', 'title': 'English'}]","['sales-manager', 'database-administrator', 'qa-engineer', 'scrum-master-agile-coach', 'presales-manager']",midlevel,125100,apprenticeship,"[{'title': 'German', 'rating': 'C2', 'must_have': True}, {'title': 'English', 'rating': 'C1', 'must_have': False}]",['consulting'],"['midlevel', 'senior']",90000,bachelor
1308,False,"[{'rating': 'B2', 'title': 'German'}, {'rating': 'C1', 'title': 'English'}]","['1st-2nd-3rd-level-support', 'engineering-manager', 'data-engineer', 'product-owner', 'frontend-developer']",junior,124199,none,"[{'title': 'German', 'rating': 'C1', 'must_have': True}, {'title': 'English', 'rating': 'B2', 'must_have': False}]",['full-stack-developer'],"['midlevel', 'senior']",90000,apprenticeship
1598,False,"[{'rating': 'A2', 'title': 'German'}, {'rating': 'C1', 'title': 'English'}]","['product-owner', 'java-developer', 'frontend-developer', 'product-manager', 'devops-engineer']",junior,124000,bachelor,"[{'title': 'German', 'rating': 'C1', 'must_have': True}, {'title': 'English', 'rating': 'B2', 'must_have': False}]","['tech-lead', 'engineering-manager']","['midlevel', 'senior']",100000,master
1783,False,"[{'rating': 'C2', 'title': 'German'}, {'rating': 'C2', 'title': 'English'}]","['system-engineer', 'software-architect', 'devops-engineer', 'cloud-engineer', 'ux-researcher']",none,123300,bachelor,"[{'title': 'German', 'rating': 'C2', 'must_have': True}, {'title': 'English', 'rating': 'C1', 'must_have': False}]",['consulting'],"['midlevel', 'senior']",90000,bachelor
1617,False,"[{'rating': 'C2', 'title': 'German'}, {'rating': 'C1', 'title': 'English'}]","['backend-developer', 'full-stack-developer', 'java-developer', 'software-architect', 'devops-engineer']",junior,122399,none,"[{'title': 'German', 'rating': 'B2', 'must_have': True}, {'title': 'English', 'rating': 'B2', 'must_have': False}]",['full-stack-developer'],"['midlevel', 'senior']",90000,apprenticeship
1490,False,"[{'rating': 'A2', 'title': 'German'}, {'rating': 'C2', 'title': 'English'}, {'rating': 'B2', 'title': 'Swedish'}]","['backend-developer', 'full-stack-developer', 'java-developer', 'c-c-developer', 'tech-lead']",midlevel,122180,apprenticeship,"[{'title': 'German', 'rating': 'C1', 'must_have': True}]","['full-stack-developer', 'java-developer']","['none', 'junior', 'midlevel', 'senior']",82000,bachelor
1291,False,"[{'rating': 'C2', 'title': 'German'}, {'rating': 'C2', 'title': 'English'}, {'rating': 'A2', 'title': 'Spanish'}]","['backend-developer', 'full-stack-developer', 'java-developer', 'data-scientist', 'machine-learning-engineer']",junior,122180,master,"[{'title': 'German', 'rating': 'C1', 'must_have': True}]","['full-stack-developer', 'java-developer']","['none', 'junior', 'midlevel', 'senior']",82000,bachelor
1931,False,"[{'rating': 'A1', 'title': 'German'}, {'rating': 'C1', 'title': 'English'}]","['product-manager', 'scrum-master-agile-coach']",midlevel,121360,none,"[{'title': 'German', 'rating': 'C1', 'must_have': True}]","['full-stack-developer', 'java-developer']","['none', 'junior', 'senior']",82000,bachelor
1006,False,"[{'rating': 'C2', 'title': 'German'}, {'rating': 'C2', 'title': 'English'}]","['engineering-manager', 'frontend-developer', 'data-engineer', 'consulting']",none,121360,apprenticeship,"[{'title': 'German', 'rating': 'C1', 'must_have': True}]","['full-stack-developer', 'java-developer']","['none', 'junior', 'midlevel', 'senior']",82000,bachelor
1829,False,"[{'rating': 'C1', 'title': 'German'}, {'rating': 'B1', 'title': 'English'}, {'rating': 'C2', 'title': 'Persian'}]","['full-stack-developer', 'c-net-developer', 'c-c-developer', 'data-scientist', 'machine-learning-engineer']",junior,121360,apprenticeship,"[{'title': 'German', 'rating': 'C1', 'must_have': True}]","['full-stack-developer', 'java-developer']","['senior', 'midlevel', 'none']",82000,bachelor
1370,False,"[{'rating': 'C1', 'title': 'German'}, {'rating': 'B2', 'title': 'English'}, {'rating': 'C2', 'title': 'Spanish'}]","['presales-manager', 'engineering-manager']",junior,121360,bachelor,"[{'title': 'German', 'rating': 'C1', 'must_have': True}]","['full-stack-developer', 'java-developer']","['none', 'senior', 'midlevel']",82000,bachelor
1754,False,"[{'rating': 'C2', 'title': 'German'}, {'rating': 'C1', 'title': 'English'}]","['business-development-manager', 'performance-marketing-manager', 'marketing-team-lead']",junior,120600,none,"[{'title': 'German', 'rating': 'B2', 'must_have': True}, {'title': 'English', 'rating': 'B2', 'must_have': False}]",['full-stack-developer'],"['midlevel', 'senior']",90000,apprenticeship
1391,False,"[{'rating': 'B1', 'title': 'German'}, {'rating': 'B1', 'title': 'English'}, {'rating': 'C2', 'title': 'Arabic'}, {'rating': 'C2', 'title': 'Turkish'}]","['product-owner', 'ux-researcher', 'database-administrator', 'marketing-team-lead', 'social-media-marketing-manager']",none,120600,none,"[{'title': 'German', 'rating': 'B2', 'must_have': True}, {'title': 'English', 'rating': 'B2', 'must_have': False}]",['full-stack-developer'],['midlevel'],90000,apprenticeship
1366,False,"[{'rating': 'A2', 'title': 'German'}, {'rating': 'C2', 'title': 'English'}, {'rating': 'C2', 'title': 'Turkish'}]","['key-account-manager', 'consulting', 'network-engineer', 'data-engineer', 'data-scientist']",junior,120540,bachelor,"[{'title': 'German', 'rating': 'C1', 'must_have': True}]","['full-stack-developer', 'java-developer']","['senior', 'midlevel', 'none']",82000,bachelor
1268,False,"[{'rating': 'C2', 'title': 'German'}, {'rating': 'C1', 'title': 'English'}]","['marketing-team-lead', 'customer-success-manager', 'engineering-manager', 'machine-learning-engineer', 'project-manager']",none,120000,apprenticeship,"[{'title': 'German', 'rating': 'C1', 'must_have': True}, {'title': 'English', 'rating': 'C1', 'must_have': True}]",['php-developer'],"['midlevel', 'senior']",80000,none
1123,False,"[{'rating': 'C1', 'title': 'German'}, {'rating': 'A2', 'title': 'English'}]","['performance-marketing-manager', 'data-analyst', 'key-account-manager', 'network-engineer']",junior,120000,apprenticeship,"[{'title': 'German', 'rating': 'C2', 'must_have': True}, {'title': 'English', 'rating': 'B2', 'must_have': False}]",['sales-manager'],['senior'],80000,bachelor
1160,False,"[{'rating': 'A2', 'title': 'German'}, {'rating': 'A2', 'title': 'English'}]","['marketing-team-lead', 'copywriter', 'network-engineer', 'php-developer', 'site-reliability-engineer']",none,120000,bachelor,"[{'title': 'German', 'rating': 'C1', 'must_have': True}, {'title': 'English', 'rating': 'B2', 'must_have': False}]","['tech-lead', 'engineering-manager']","['midlevel', 'senior']",100000,master
1678,False,"[{'rating': 'A1', 'title': 'German'}, {'rating': 'C1', 'title': 'English'}]","['system-engineer', 'product-owner', 'sales-engineer', 'machine-learning-engineer', 'c-c-developer']",none,120000,bachelor,"[{'title': 'German', 'rating': 'C1', 'must_have': True}, {'title': 'English', 'rating': 'C1', 'must_have': False}]",['data-engineer'],"['midlevel', 'senior']",80000,master
